Climb,Area,Climber,Date,FrenchGrade,Style,Gender,Year,Grade,OriginalArea,SuggestedGrade,AscentNumber,Notes,SuggestedNumberGrade,AveragedNumberGrade
Emotional Landscapes,Maltatal,Florian Schmalzl,11/27/2017,8C,Boulder Problem,M,2017,V15,Maltatal,8C,4,,15,15
Serenata,Maltby,Michael Adams,2/3/2015,8C,Boulder Problem,M,2015,V15,Maltby,8C,1,,15,15
Serenata,Maltby,Edward Feehally,1/1/2015,8C,Boulder Problem,M,2015,V15,Maltby,UNKNOWN ,2,,0,15
Serenata,Maltby,Dawid Skoczylas,1/1/2016,8C,Boulder Problem,M,2016,V15,Maltby,8C,3,,15,15
Serenation,Maltby,Michael Adams,4/1/2017,8C,Boulder Problem,M,2017,V15,Maltby,8C,1,,15,15
Demencia Senil,Margalef,Chris Sharma,2/22/2009,9a+,Sport Route,M,2009,5.15a,Margalef,9a+,1,,2,2
Demencia Senil,Margalef,Iker Pou,1/22/2010,9a+,Sport Route,M,2010,5.15a,Margalef,9a+,2,,2,2
Demencia Senil,Margalef,Ramón Julián Puigblanque,10/11/2010,9a+,Sport Route,M,2010,5.15a,Margalef,9a+,3,,2,2
Demencia Senil,Margalef,Stefano Ghisolfi,3/14/2015,9a+,Sport Route,M,2015,5.15a,Margalef,9a+,4,,2,2
Demencia Senil,Margalef,Alexander Megos,11/28/2015,9a+,Sport Route,M,2015,5.15a,Margalef,9a+,5,,2,2
Demencia Senil,Margalef,Sangwon Son,12/15/2017,9a+,Sport Route,M,2017,5.15a,Margalef,9a+,6,,2,2
First Ley,Margalef,Chris Sharma,2/28/2010,9a+,Sport Route,M,2010,5.15a,Margalef,9a+,1,,2,2
First Ley,Margalef,Alexander Megos,1/1/2016,9a+,Sport Route,M,2016,5.15a,Margalef,9a+,2,,2,2
First Ley,Margalef,Mateusz Haladaj,4/6/2016,9a+,Sport Route,M,2016,5.15a,Margalef,9a+,3,,2,2
First Ley,Margalef,Stefano Ghisolfi,1/12/2017,9a+,Sport Route,M,2017,5.15a,Margalef,9a+,4,,2,2
First Ley,Margalef,Daniel Woods,3/13/2018,9a+,Sport Route,M,2018,5.15a,Margalef,9a+,5,,2,2
First Ley,Margalef,Shawn Raboutou,4/30/2018,9a+,Sport Route,M,2018,5.15a,Margalef,9a+,6,,2,2
First Ley,Margalef,Sean Bailey,12/31/2018,9a+,Sport Route,M,2018,5.15a,Margalef,9a+,7,,2,2
First Round First Minute,Margalef,Chris Sharma,4/19/2011,9b,Sport Route,M,2011,5.15b,Margalef,9b,1,"Watch him projecting the route on ""Reel Rock Tour 2010"".",3,3
First Round First Minute,Margalef,Adam Ondra,2/3/2014,9b,Sport Route,M,2014,5.15b,Margalef,9b,2,9-10 days,3,3
First Round First Minute,Margalef,Alexander Megos,12/31/2015,9b,Sport Route,M,2015,5.15b,Margalef,9b,3,5 days,3,3
First Round First Minute,Margalef,Stefano Ghisolfi,1/30/2017,9b,Sport Route,M,2017,5.15b,Margalef,9b,4,,3,3
Maya,Margalef,Ramón Julián Puigblanque,9/11/2016,9a+,Sport Route,M,2016,5.15a,Margalef,9a+,1,,2,2
Nit de Bruixes,Margalef,Iker Pou,1/13/2012,9a+,Sport Route,M,2012,5.15a,Margalef,9a+,1,,2,2
Nit de Bruixes,Margalef,Ramón Julián Puigblanque,7/1/2012,9a+,Sport Route,M,2012,5.15a,Margalef,9a+,2,,2,2
Perfecto Mundo,Margalef,Alexander Megos,5/9/2018,9b+,Sport Route,M,2018,5.15c,Margalef,9b+,1,15 days,4,4
Perfecto Mundo,Margalef,Stefano Ghisolfi,12/7/2018,9b+,Sport Route,M,2018,5.15c,Margalef,9b+,2,32 days,4,4
Czech Trip,"Mavrovo, Macedonia",Adam Ondra,1/1/2018,9a+,Sport Route,M,2018,5.15a,Mavrovo,9a+,1,9a+ hard. Possibly 9a+/9b,2,2
Kuzan,"Mie, Japan",Toshi Takeuchi,2/19/2017,8C,Boulder Problem,M,2017,V15,Mie,8C,1,8C hard,15,15
Kuzan,"Mie, Japan",Ryohei Kameyama,2/12/2019,8C,Boulder Problem,M,2019,V15,Mie,8C,2,3 sessions,15,15
Kawaki no umi / Sea of Dry ,Minamata,Dai Koyamada,3/31/2014,8C,Boulder Problem,M,2014,V15,Minamata,8B+/8C,1,8B+/8C,14.5,15
The New Chapter,Mincy,Paul Robinson,3/20/2013,8C,Boulder Problem,M,2013,V15,Ozark Mountains,8C,1,,15,15
Witness the Fitness,Mincy,Chris Sharma,3/13/2005,8C,Boulder Problem,M,2005,V15,Ozark Mountains,8C,1,,15,15
Witness the Fitness,Mincy,Frédéric Nicole,12/23/2006,8C,Boulder Problem,M,2006,V15,Ozark Mountains,UNKNOWN,2,,0,15
Witness the Fitness,Mincy,Daniel Woods,1/8/2013,8C,Boulder Problem,M,2013,V15,Ozark Mountains,8C,3,"After Woods' ascent, boulder is ""completely"" broken.",15,15
Vicious Circle,Mišja Peč,Adam Ondra,3/25/2016,9b,Sport Route,M,2016,5.15b,Mišja Peč,9a+/9b,1,9a+ hard or 9a+/9b,2.5,3
C.R.S.,Mollans-sur-Ouvèze,Adam Ondra,11/2/2015,9b,Sport Route,M,2015,5.15b,Mollans,9b,1,3-4 days. 10 tries.,3,3
Tinipi,Mont Kinabalu,Daniel Woods,1/1/2012,9a+,Sport Route,M,2012,5.15a,Mont Kinabalu,9a+,1,This climb is now completely gone after an earthquake destroyed the Donkey's Ear Peak on Mount Kinabalu.,2,2
Tinipi,Mont Kinabalu,Sachi Amma,1/1/2015,9a+,Sport Route,M,2015,5.15a,Mont Kinabalu,9a+,2,This climb is now completely gone after an earthquake destroyed the Donkey's Ear Peak on Mount Kinabalu.,2,2
Aubade Directe,Montagne Sainte Victoire,Gérome Pouvreau,1/1/2010,9a+,Sport Route,M,2010,5.15a,Sainte Victoire,9a/9a+,1,,1.5,2
Aubade Directe,Montagne Sainte Victoire,Enzo Oddo,1/1/2011,9a+,Sport Route,M,2011,5.15a,Sainte Victoire,9a+,2,,2,2
Tonino 78,Montemonaco,Mauro Calibani,1/24/2004,8C+,Boulder Problem,M,2004,V16,Mont Sibilini,8C+,1,,16,16
Tonino 78,Montemonaco,Julien Nadiras,10/2/2004,8C+,Boulder Problem,M,2004,V16,Mont Sibilini,8C/8C+,2,8C/8C+. 25 days,15.5,16
Tonino 78,Montemonaco,Antoine Vandeputte,5/7/2005,8C+,Boulder Problem,M,2005,V16,Mont Sibilini,8C,3,,15,16
Red Ram,"Montserrat, Marganell Spain",Ramón Julián Puigblanque,8/30/2013,9a+,Sport Route,M,2013,5.15a,Montserrat,9a+,1,,2,2
Drift,Moravský Kras,Adam Ondra,10/8/2017,8C,Boulder Problem,M,2017,V15,Holštejn,8C,1,,15,15
Drift,Moravský Kras,Martin Stráník,4/28/2019,8C,Boulder Problem,M,2019,V15,Holštejn,8B+/8C,2,2 days,14.5,15
Kráter,Moravský Kras,Adam Ondra,6/24/2017,8C,Boulder Problem,M,2017,V15,Holštejn,8C,1,8C hard,15,15
Pata Ledovce,Moravský Kras,Adam Ondra,9/6/2011,8C,Boulder Problem,M,2011,V15,Holštejn,8C,1,,15,15
Pata Ledovce,Moravský Kras,Martin Stráník,3/21/2019,8C,Boulder Problem,M,2019,V15,Holštejn,8C,2,4 days,15,15
Perlorodka,Moravský Kras,Adam Ondra,9/6/2011,9a+,Sport Route,M,2011,5.15a,Moravský Kras,9a+,1,9a+ hard,2,2
Silák Panoramix,Moravský Kras,Martin Stráník,7/8/2017,8C,Boulder Problem,M,2017,V15,Sloup,8B+/8C,1,8B+/8C,14.5,15
Tekuté Štěstí,Moravský Kras,Martin Stráník,6/22/2018,8C,Boulder Problem,M,2018,V15,Holštejn,8C,1,5 days,15,15
Tekuté Štěstí,Moravský Kras,Adam Ondra,6/24/2018,8C,Boulder Problem,M,2018,V15,Holštejn,8C,2,2 days,15,15
Terranova,Moravský Kras,Adam Ondra,11/10/2011,8C+,Boulder Problem,M,2011,V16,Holštejn,8C+,1,,16,16
Vasil Vasil,Moravský Kras,Adam Ondra,12/4/2013,9b+,Sport Route,M,2013,5.15c,Sloup,9b+,1,20-25 days over 2 years,4,4
Vrtule,Moravský Kras,Adam Ondra,10/13/2017,8C+,Boulder Problem,M,2017,V16,Holštejn,8C/8C+,1,8C/8C+. 4 days,15.5,16
Delirium,"Mt. Evans, Colorado",James Webb,9/10/2013,8C,Boulder Problem,M,2013,V15,Mt. Evans,8C,1,,15,15
Delirium,"Mt. Evans, Colorado",Daniel Woods,9/18/2013,8C,Boulder Problem,M,2013,V15,Mt. Evans,8C,2,,15,15
Delirium,"Mt. Evans, Colorado",David Graham,6/25/2016,8C,Boulder Problem,M,2016,V15,Mt. Evans,8C,3,7 days,15,15
Delirium,"Mt. Evans, Colorado",Griffin Whiteside,6/18/2017,8C,Boulder Problem,M,2017,V15,Mt. Evans,8C,4,,15,15
Delirium,"Mt. Evans, Colorado",Paul Robinson,9/27/2018,8C,Boulder Problem,M,2018,V15,Mt. Evans,8C,5,,15,15
The Wheel Of Wolvo,"Mt. Evans, Colorado",James Webb,9/5/2013,8C,Boulder Problem,M,2013,V15,Mt. Evans,8C,1,,15,15
The Wheel Of Wolvo,"Mt. Evans, Colorado",Daniel Woods,9/9/2013,8C,Boulder Problem,M,2013,V15,Mt. Evans,8C,2,,15,15
The Wheel Of Wolvo,"Mt. Evans, Colorado",David Graham,9/18/2013,8C,Boulder Problem,M,2013,V15,Mt. Evans,8C,3,,15,15
The Wheel Of Wolvo,"Mt. Evans, Colorado",Matthew Fultz,8/29/2016,8C,Boulder Problem,M,2016,V15,Mt. Evans,8B+,4,"5 days. Fultz originally suggested 8C, but later changed his opinion to 8B+.",14,15
The Wheel Of Wolvo,"Mt. Evans, Colorado",Griffin Whiteside,6/11/2017,8C,Boulder Problem,M,2017,V15,Mt. Evans,8C,5,,15,15
Asagimadara,Mt. Mizugaki,Tokio Muroi,1/1/2011,8C,Boulder Problem,M,2011,V15,Mt. Mizugaki,8C+,1,100+ days. Without crash pads.,16,15
Asagimadara,Mt. Mizugaki,Toru Nakajima,3/1/2013,8C,Boulder Problem,M,2013,V15,Mt. Mizugaki,8C,2,5 days,15,15
Asagimadara,Mt. Mizugaki,Toshi Takeuchi,10/18/2015,8C,Boulder Problem,M,2015,V15,Mt. Mizugaki,8C,3,,15,15
Asagimadara,Mt. Mizugaki,Jongwon Chon,3/16/2016,8C,Boulder Problem,M,2016,V15,Mt. Mizugaki,UNKNOWN,4,6 tries,0,15
Asagimadara,Mt. Mizugaki,Adam Ondra,3/16/2016,8C,Boulder Problem,M,2016,V15,Mt. Mizugaki,8C,5,8C soft,15,15
Asagimadara,Mt. Mizugaki,Sachi Amma,3/16/2016,8C,Boulder Problem,M,2016,V15,Mt. Mizugaki,8C,6,,15,15
Asagimadara,Mt. Mizugaki,Ryuichi Murai,10/15/2016,8C,Boulder Problem,M,2016,V15,Mt. Mizugaki,8C,7,"8C soft, 3 days",15,15
MinerBuster,Mt. Mizugaki,Toshi Takeuchi,10/11/2016,8C,Boulder Problem,M,2016,V15,Mt. Mizugaki,8B+/8C,1,8B+/8C,14.5,15
All You Can Eat,Mt. Potosi,Jonathan Siegrist,3/29/2019,9a+,Sport Route,M,2019,5.15a,Mt. Potosi,9a+,1,,2,2
Eternal Sunshine,Mudeungsan National Park,Jongwon Chon,11/11/2016,8C,Boulder Problem,M,2016,V15,Mudeungsan National Park,8C,1,,15,15
Hymn,Mudeungsan National Park,Jongwon Chon,12/11/2016,8C,Boulder Problem,M,2016,V15,Mudeungsan National Park,8C,1,,15,15
Arzak,"Murgtal, Switzerland",Frédéric Nicole,3/12/2015,8C,Boulder Problem,M,2015,V15,Murgtal,8C,1,,15,15
Arzak,"Murgtal, Switzerland",Toby Saxton,1/30/2018,8C,Boulder Problem,M,2018,V15,Murgtal,8C,2,,15,15
Arzak,"Murgtal, Switzerland",Guntram Jörg,2/24/2019,8C,Boulder Problem,M,2019,V15,Murgtal,8C,3,,15,15
Gekirin ,Nagasaki,Dai Koyamada,1/1/2018,8C,Boulder Problem,M,2018,V15,Ryutosen,8C,1,,15,15
Gekirin ,Nagasaki,Daisuke Ichimiya,3/11/2018,8C,Boulder Problem,M,2018,V15,Ryutosen,8C,2,,15,15
Floating World ,Nakatsugawa,Dai Koyamada,11/7/2012,8C,Boulder Problem,M,2012,V15,Ena,8B+/8C,1,8B+/8C,14.5,15
Ukiyo ,Nakatsugawa,Dai Koyamada,7/12/2012,8C,Boulder Problem,M,2012,V15,Ena,8B+/8C,1,"8B+/8C. Watch the ascent on ""Dai's Video Diaries Vol. 4"".",14.5,15
Clash of the Titans,Nassereith,Alexander Megos,1/1/2017,9a+,Sport Route,M,2017,5.15a,Nassereith,9a+,1,,2,2
Transcendance,Nationalpark Sächsische Schweiz,Thomas Willenberg,2/15/2003,8C+,Boulder Problem,M,2003,V16,Sachsen,8C/8C+,1,8C/8C+. 25 days,15.5,16
Hipoxia,Navalosa,Alberto Rocasolano Jaudenes,3/4/2018,8C,Boulder Problem,M,2018,V15,Navalosa,8C,1,,15,15
Parálisis Espástica,Navalosa,César Quero,7/1/2017,8C,Boulder Problem,M,2017,V15,Navalosa,8C,1,3 months,15,15
Flex Luthor,"New Castle, Colorado",Tommy Caldwell,1/1/2003,9a+,Sport Route,M,2003,5.15a,Fortress of Solitude,9a+,1,First 9a+ in America,2,2
Chaxi,Oliana,Chris Sharma,1/1/2011,9a+,Sport Route,M,2011,5.15a,Oliana,9a+,1,,2,2
Chaxi,Oliana,Adam Ondra,1/1/2011,9a+,Sport Route,M,2011,5.15a,Oliana,9a+,2,,2,2
Chaxi,Oliana,Cédric Lachat,1/1/2013,9a+,Sport Route,M,2013,5.15a,Oliana,9a+,3,,2,2
Chaxi,Oliana,Jonathan Siegrist,1/1/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+,4,,2,2
Chaxi Raxi,Oliana,Adam Ondra,3/27/2011,9b,Sport Route,M,2011,5.15b,Oliana,9b,1,,3,3
Fight or Flight,Oliana,Chris Sharma,5/5/2011,9b,Sport Route,M,2011,5.15b,Oliana,9b,1,,3,3
Fight or Flight,Oliana,Adam Ondra,2/9/2013,9b,Sport Route,M,2013,5.15b,Oliana,9b,2,,3,3
Fight or Flight,Oliana,Jakob Schubert,12/31/2014,9b,Sport Route,M,2014,5.15b,Oliana,9b,3,5 sessions,3,3
Fight or Flight,Oliana,Sachi Amma,2/1/2015,9b,Sport Route,M,2015,5.15b,Oliana,9b,4,25+ goes,3,3
Fight or Flight,Oliana,Matty Hong,5/2/2018,9b,Sport Route,M,2018,5.15b,Oliana,9b,5,,3,3
Fight or Flight,Oliana,Piotr Schab,4/26/2019,9b,Sport Route,M,2019,5.15b,Oliana,9b,6,,3,3
Joe Mama,Oliana,Klemen Bečan,1/1/2016,9a+,Sport Route,M,2016,5.15a,Oliana,9a+,1,,2,2
Joe Mama,Oliana,Chris Sharma,1/1/2016,9a+,Sport Route,M,2016,5.15a,Oliana,9a+,2,,2,2
Joe Mama,Oliana,Jakob Schubert,1/1/2016,9a+,Sport Route,M,2016,5.15a,Oliana,9a+,3,,2,2
Joe Mama,Oliana,Matty Hong,1/1/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+,4,,2,2
Joe Mama,Oliana,Jonathan Siegrist,1/1/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+,5,,2,2
Joe Mama,Oliana,Sean Bailey,3/2/2019,9a+,Sport Route,M,2019,5.15a,Oliana,9a+,7,,2,2
Joe Mama,Oliana,Jon Cardwell,2/26/2019,9a+,Sport Route,M,2019,5.15a,Oliana,9a+,8,,2,2
La Dura Dura,Oliana,Adam Ondra,2/7/2013,9b+,Sport Route,M,2013,5.15c,Oliana,9b+,1,"Watch him projecting the route on ""Reel Rock Tour 2012"".",4,4
La Dura Dura,Oliana,Chris Sharma,3/23/2013,9b+,Sport Route,M,2013,5.15c,Oliana,9b+,2,"Watch him projecting the route on ""Reel Rock Tour 2012"".",4,4
Mamichula,Oliana,Adam Ondra,2/8/2017,9b,Sport Route,M,2017,5.15b,Oliana,9b,1,9b hard,3,3
Mamichula,Oliana,Sébastien Bouin,4/15/2019,9b,Sport Route,M,2019,5.15b,Oliana,9b,2,,3,3
Pachamama,Oliana,Chris Sharma,5/1/2009,9a+,Sport Route,M,2009,5.15a,Oliana,9a+,1,,2,2
Pachamama,Oliana,Sachi Amma,12/1/2011,9a+,Sport Route,M,2011,5.15a,Oliana,9a+,2,,2,2
Pachamama,Oliana,Ramón Julián Puigblanque,4/6/2015,9a+,Sport Route,M,2015,5.15a,Oliana,9a+,3,,2,2
Pachamama,Oliana,Jakob Schubert,1/2/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+,4,,2,2
Pachamama,Oliana,Adam Ondra,2/4/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+,5,9a+ hard,2,2
Pachamama,Oliana,Jonathan Siegrist,4/1/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+/9b,6,9a+/9b,2.5,2
Pachamama,Oliana,Patxi Usobiaga,11/8/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+/9b,7,9a+/9b,2.5,2
Pachamama,Oliana,Sébastien Bouin,3/6/2019,9a+,Sport Route,M,2019,5.15a,Oliana,9a+,8,9a+ hard,2,2
Pachamama,Oliana,Piotr Schab,5/4/2019,9a+,Sport Route,M,2019,5.15a,Oliana,9a+,9,8 tries,2,2
Papichulo,Oliana,Chris Sharma,5/31/2008,9a+,Sport Route,M,2008,5.15a,Oliana,9a+,1,,2,2
Papichulo,Oliana,Adam Ondra,2/24/2009,9a+,Sport Route,M,2009,5.15a,Oliana,9a+,2,5 days,2,2
Papichulo,Oliana,Ramón Julián Puigblanque,3/21/2009,9a+,Sport Route,M,2009,5.15a,Oliana,9a+,3,,2,2
Papichulo,Oliana,Sachi Amma,12/24/2010,9a+,Sport Route,M,2010,5.15a,Oliana,9a+,4,,2,2
Papichulo,Oliana,Cédric Lachat,1/1/2011,9a+,Sport Route,M,2011,5.15a,Oliana,9a+,5,,2,2
Papichulo,Oliana,Jakob Schubert,4/27/2011,9a+,Sport Route,M,2011,5.15a,Oliana,9a+,6,,2,2
Papichulo,Oliana,Domen Škofic,12/11/2014,9a+,Sport Route,M,2014,5.15a,Oliana,9a+,7,,2,2
Papichulo,Oliana,Magnus Midtbø,3/22/2015,9a+,Sport Route,M,2015,5.15a,Oliana,9a+,8,,2,2
Papichulo,Oliana,Mateusz Haladaj,5/30/2015,9a+,Sport Route,M,2015,5.15a,Oliana,9a+,9,,2,2
Papichulo,Oliana,Jonathan Siegrist,11/18/2015,9a+,Sport Route,M,2015,5.15a,Oliana,9a+,10,,2,2
Papichulo,Oliana,Daniel Woods,4/18/2016,9a+,Sport Route,M,2016,5.15a,Oliana,9a+,11,,2,2
Papichulo,Oliana,Matty Hong,1/1/2016,9a+,Sport Route,M,2016,5.15a,Oliana,9a+,12,,2,2
Papichulo,Oliana,Piotr Schab,4/18/2016,9a+,Sport Route,M,2016,5.15a,Oliana,9a+,13,,2,2
Papichulo,Oliana,Said Belhaj,1/1/2016,9a+,Sport Route,M,2016,5.15a,Oliana,9a+,14,,2,2
Papichulo,Oliana,Klemen Bečan,1/1/2016,9a+,Sport Route,M,2016,5.15a,Oliana,9a+,15,,2,2
Papichulo,Oliana,Patxi Usobiaga,3/31/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+,16,,2,2
Papichulo,Oliana,Jon Cardwell,1/1/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+,17,,2,2
Papichulo,Oliana,Felipe Camargo,4/23/2017,9a+,Sport Route,M,2017,5.15a,Oliana,9a+,18,,2,2
Papichulo,Oliana,Margo Hayes,1/1/2019,9a+,Sport Route,F,2019,5.15a,Oliana,9a+,19,,2,2
Papichulo,Oliana,Kamil Ferenc,4/19/2019,9a+,Sport Route,M,2019,5.15a,Oliana,9a+,20,,2,2
Papichulo,Oliana,Sébastien Bouin,4/19/2019,9a+,Sport Route,M,2019,5.15a,Oliana,9a+,21,,2,2
Power Inverter,Oliana,Chris Sharma,1/1/2010,9a+,Sport Route,M,2010,5.15a,Oliana,9a+,1,,2,2
Power Inverter,Oliana,Adam Ondra,1/25/2013,9a+,Sport Route,M,2013,5.15a,Oliana,9a+,2,,2,2
Power Inverter,Oliana,Ramón Julián Puigblanque,3/3/2014,9a+,Sport Route,M,2014,5.15a,Oliana,9a+,3,6 tries over 3 days,2,2
Power Inverter,Oliana,Sachi Amma,2/16/2015,9a+,Sport Route,M,2015,5.15a,Oliana,9a+,4,9a+ hard,2,2
Power Inverter,Oliana,Jonathan Siegrist,12/2/2015,9a+,Sport Route,M,2015,5.15a,Oliana,9a+,5,,2,2
Sachidananda,Orgon,Gérome Pouvreau,1/1/2009,9a+,Sport Route,M,2009,5.15a,Orgon,9a,1,,1,2
Sachidananda,Orgon,Loïc Zehani,1/1/2018,9a+,Sport Route,M,2018,5.15a,Orgon,9a+,2,,2,2
Charlotte,Parque Regional Cuenca Alta Manzanares,Alberto Rocasolano Jaudenes,1/1/2012,8C,Boulder Problem,M,2012,V15,La Pedriza,8B+/8C,1,"Rocasolano originally graded this boulder 8B+, but later changed his opinion to 8B+/8C.",14.5,15
El Elegido,Parque Regional Cuenca Alta Manzanares,Alberto Rocasolano Jaudenes,12/1/2017,8C,Boulder Problem,M,2017,V15,La Pedriza,8B+/8C,1,8B+/8C,14.5,15
Lemento sit,Parque Regional Cuenca Alta Manzanares,Carlos Ruano,3/31/2019,8C,Boulder Problem,M,2019,V15,La Pedriza,8C,1,,15,15
Panorama,Patones,Jorge Diaz Rullo,1/1/2018,9a+,Sport Route,M,2018,5.15a,Patones,9a/9a+,1,9a/9a+,1.5,2
Finest Pedigree,Peak District National Park,Steve McClure,1/1/2010,9a+,Sport Route,M,2010,5.15a,Cheedale Cornice,9a+,1,,2,2
El Diablo,"Penoles, Mexico",Daniel Woods,1/19/2014,8C,Boulder Problem,M,2014,V15,Peñoles,8C,1,5 days,15,15
Cháron,"Petrohrad, Czechia",Adam Ondra,10/15/2011,8C,Boulder Problem,M,2011,V15,Petrohrad,8C,1,,15,15
Dreamcatcher,"Petrohrad, Czechia",Martin Stráník,12/3/2017,8C,Boulder Problem,M,2017,V15,Petrohrad,8B+/8C,1,8B+/8C,14.5,15
Kmira,Pic St Loup,Sébastien Bouin,1/1/2015,9a+,Sport Route,M,2015,5.15a,Pic St Loup,9a+,1,,2,2
Rehabilitation,Plomberg,Klem Loskot,1/1/2012,9a+,Sport Route,M,2012,5.15a,Plomberg,9a+,1,,2,2
The Balcony,Plomberg,Klem Loskot,1/1/2012,9a+,Sport Route,M,2012,5.15a,Plomberg,9a+,1,,2,2
Extrasystole,Poggio Umbricchio,Elias Iagnemma,12/16/2018,8C,Boulder Problem,M,2018,V15,Poggio Umbricchio,8B+/8C,1,8B+/8C. 15 sessions.,14.5,15
The Cold and Smelly Breath of Death,Puerto Natales,Pirmin Bertle,2/24/2016,8C,Boulder Problem,M,2016,V15,Puerto Natales,8B+/8C,1,8B+/8C. 10 days,14.5,15
Hyper Finale,Rawyl,Adam Ondra,7/17/2016,9a+,Sport Route,M,2016,5.15a,Rawyl,9a+,1,,2,2
Kintsugi,Red Rock Canyon National Conservation Area,Nalle Hukkataival,1/25/2015,8B+,Boulder Problem,M,2015,V14,Red Rock,8C,1,,15,14
Kintsugi,Red Rock Canyon National Conservation Area,James Webb,12/15/2016,8B+,Boulder Problem,M,2016,V14,Red Rock,8B+/8C,2,8B+/8C,14.5,14
Kintsugi,Red Rock Canyon National Conservation Area,Nils Favre,3/3/2017,8B+,Boulder Problem,M,2017,V14,Red Rock,8B+/8C,3,V14? With the new beta,14.5,14
Kintsugi,Red Rock Canyon National Conservation Area,Keenan Takahashi,12/13/2018,8B+,Boulder Problem,M,2018,V14,Red Rock,8C,4,,15,14
Kintsugi,Red Rock Canyon National Conservation Area,Ethan Pringle,1/9/2019,8B+,Boulder Problem,M,2019,V14,Red Rock,8B+,5,4 sessions,14,14
Kintsugi,Red Rock Canyon National Conservation Area,Bryce Viola,2/21/2019,8B+,Boulder Problem,M,2019,V14,Red Rock,8B,6,"""Fuckin' Ultra Soft""",13,14
Kintsugi,Red Rock Canyon National Conservation Area,Pablo Hammock,3/23/2019,8B+,Boulder Problem,M,2019,V14,Red Rock,8B,7,,13,14
Sleepwalker,Red Rock Canyon National Conservation Area,James Webb,12/15/2018,8C+,Boulder Problem,M,2018,V16,Red Rock,8C+,1,11 sessions,16,16
Sleepwalker,Red Rock Canyon National Conservation Area,Daniel Woods,1/16/2019,8C+,Boulder Problem,M,2019,V16,Red Rock,8C+,2,,16,16
Sleepwalker,Red Rock Canyon National Conservation Area,Nalle Hukkataival,2/1/2019,8C+,Boulder Problem,M,2019,V16,Red Rock,UNKNOWN,3,,0,16
Squoze,Red Rock Canyon National Conservation Area,James Webb,12/6/2018,8C,Boulder Problem,M,2018,V15,Red Rock,8C,1,"Webb originally graded this climb 8B+, but later changed his opinion to 8C.",15,15
Squoze,Red Rock Canyon National Conservation Area,Daniel Woods,1/16/2019,8C,Boulder Problem,M,2019,V15,Red Rock,8C,2,,15,15
Squoze,Red Rock Canyon National Conservation Area,Carlo Traversi,3/9/2019,8C,Boulder Problem,M,2019,V15,Red Rock,8C,3,,15,15
Squoze,Red Rock Canyon National Conservation Area,Taylor McNeill,3/19/2019,8C,Boulder Problem,M,2019,V15,Red Rock,8C,4,,15,15
The Nest,Red Rock Canyon National Conservation Area,Daniel Woods,12/18/2013,8C,Boulder Problem,M,2013,V15,Red Rock,8C,1,5 days,15,15
The Nest,Red Rock Canyon National Conservation Area,James Webb,12/18/2013,8C,Boulder Problem,M,2013,V15,Red Rock,8C,2,5 days,15,15
The Nest,Red Rock Canyon National Conservation Area,Paul Robinson,12/24/2013,8C,Boulder Problem,M,2013,V15,Red Rock,8C,3,4 days,15,15
The Nest,Red Rock Canyon National Conservation Area,Nalle Hukkataival,1/10/2015,8C,Boulder Problem,M,2015,V15,Red Rock,8C,4,,15,15
The Nest,Red Rock Canyon National Conservation Area,Facundo Langbehn,12/10/2017,8C,Boulder Problem,M,2017,V15,Red Rock,8C,5,,15,15
The Nest,Red Rock Canyon National Conservation Area,Keenan Takahashi,1/25/2018,8C,Boulder Problem,M,2018,V15,Red Rock,8C,6,,15,15
The Nest,Red Rock Canyon National Conservation Area,Ethan Pringle,2/1/2018,8C,Boulder Problem,M,2018,V15,Red Rock,8C,7,50 sessions over 4 years,15,15
The Last Jedi,Remeteszőlős,Tamás Zupán,1/11/2018,8C,Boulder Problem,M,2018,V15,Remeteszőlős,8C,1,,15,15
Kimera,"Rifugio Barbara, Italy",Christian Core,9/1/2006,8C,Boulder Problem,M,2006,V15,Piemonte,8C,1,,15,15
Box Therapy,Rocky Mountain National Park,Daniel Woods,10/29/2018,8C+,Boulder Problem,M,2018,V16,Rocky Mountain National Park,8C+,1,7 days,16,16
Bridge of Ashes,Rocky Mountain National Park,David Graham,3/8/2013,8C,Boulder Problem,M,2013,V15,Elkland,8C,1,25 days,15,15
Bridge of Ashes,Rocky Mountain National Park,Daniel Woods,3/11/2013,8C,Boulder Problem,M,2013,V15,Elkland,8B+,2,In one session. Changed grade opinion after Webb's ascent.,14,15
Bridge of Ashes,Rocky Mountain National Park,James Webb,11/9/2013,8C,Boulder Problem,M,2013,V15,Elkland,8B+,3,In 30 min,14,15
Bridge of Ashes,Rocky Mountain National Park,Matt Fultz,5/7/2019,8C,Boulder Problem,M,2019,V15,Elkland,8C,4,,15,15
